,date,type,operator,fatalities,location,country,year
13356,16-NOV-1976,DC-9-14,Texas International,0.0,Denver-Stapleton...,USA,1976
13357,18-NOV-1976,Howard 250,Depositor Canales,2.0,"Villa de Casas, ...",Mexico,1976
13358,19-NOV-1976,CASA C-212-A2 Aviocar 100,Portuguese AF,2.0,near Lisboa-Portela d...,Portugal,1976
13359,21-NOV-1976,Lockheed L-100-20 Hercules,Pacific Western,5.0,near Kisangani,D.R. Congo,1976
13360,22-NOV-1976,Shorts SC.7 Skyvan 3-200,Gulf Air,0.0,near Das Island,U.A.E.,1976
13361,22-NOV-1976,MBB HFB-320ECM Hansa Jet,German AF,5.0,SchwabmA14nchen,Germany,1976
13362,23-NOV-1976,NAMC YS-11A-500,Olympic Airways,50.0,near Kozani-Philippos...,Greece,1976
13363,23-NOV-1976,Douglas C-47 (DC-3),Aerolineas La Paz,0.0,La Paz-El Alto A...,Bolivia,1976
13365,28-NOV-1976,Tupolev Tu-104B,"Aeroflot, Northern",73.0,"near Klushino, Solnec...",Russia,1976
13366,30-NOV-1976,Douglas C-117B (DC-3),U.S. Department of Agriculture,5.0,near Victoria,Mexico,1976
13368,07-DEC-1976,Yakovlev Yak-40,"Aeroflot, Ukraine",0.0,near Armavir Air Base,Russia,1976
13369,09-DEC-1976,Howard 500,Red River Ranch,2.0,Yosemite Nationa...,USA,1976
13370,10-DEC-1976,Douglas C-47A (DC-3),Austin Airways,0.0,Chisasibi Airpor...,Canada,1976
13371,12-DEC-1976,DHC-6 Twin Otter 300,"Allegheny Commuter, opb Atlantic City Airlines",4.0,Wildwood-Cape Ma...,USA,1976
13372,14-DEC-1976,Douglas C-47B (DC-3),Ethiopian Airlines,0.0,Oborso,Ethiopia,1976
13373,16-DEC-1976,DHC-6 Twin Otter 100,Airwest Airlines,0.0,"Juan de Fuca, BC",Canada,1976
13374,16-DEC-1976,Convair CV-880,Air Trine Inc,0.0,Miami Internatio...,USA,1976
13375,16-DEC-1976,Yakovlev Yak-40,"Aeroflot, Ukraine",5.0,near Kazakovskoye,Ukraine,1976
13376,17-DEC-1976,Antonov An-24,"Aeroflot, Ukraine",48.0,near Kiev-Zhulhyany A...,Ukraine,1976
13377,17-DEC-1976,Yakovlev Yak-40,"Aeroflot, East Siberia",7.0,near Ust-Kut Airport,Russia,1976
13378,18-DEC-1976,Ilyushin Il-14RR,"Aeroflot, Far East",8.0,near Yuzhno-Sakhalins...,Russia,1976
13379,21-DEC-1976,Lockheed C-130H Hercules,Iran AF,9.0,near Shiraz Airport (...,Iran,1976
13381,21-DEC-1976,Antonov An-22A,Soviet AF,7.0,near Seshcha,Russia,1976
13383,27-DEC-1976,Fairchild C-82A Packet,Transportes AAreos Itenez,6.0,San RamA3n Airpo...,Bolivia,1976
13384,27-DEC-1976,Lockheed 18 Lodestar,private,0.0,Sinaloa de Leyva,Mexico,1976
13385,30-DEC-1976,Douglas C-54A (DC-4),Faucett PerAo,24.0,near Trujillo Airport...,Peru,1976
13389,??-???-1976,Yakovlev Yak-40,"Aeroflot, East Siberia",0.0,unknown,Russia,1976
13394,02-JAN-1977,Ilyushin Il-18V,CSA,0.0,Praha-Ruzyne Air...,Czech Rep.,1977
13395,02-JAN-1977,Tupolev Tu-134A,CSA,0.0,Praha-Ruzyne Air...,Czech Rep.,1977
13397,04-JAN-1977,BAC One-Eleven 520FN,Transbrasil,0.0,SAo Paulo-Virac...,Brazil,1977
13398,06-JAN-1977,Douglas C-47A (DC-3),Transportes AAreos Itenez,0.0,La Senda,Bolivia,1977
13399,06-JAN-1977,Learjet 24B,Jet Avia,4.0,"near Palm Springs, CA",USA,1977
13400,06-JAN-1977,Learjet 23,Jet Avia,2.0,near Flint-Bishop Air...,USA,1977
13401,06-JAN-1977,Douglas C-47B (DC-3),Rhodesian AF,3.0,near Chiredzi-Buffalo...,Zimbabwe,1977
13402,10-JAN-1977,Grumman HU-16 Albatross,Mexican Navy,3.0,near Puerto CortAs,Mexico,1977
13405,11-JAN-1977,Fairchild C-123K Provider,Thai AF,0.0,Bangkok-Don Muan...,Thailand,1977
13406,12-JAN-1977,Beech A100 King Air,Marchwiel Plant & Engineering,0.0,"Sturgate, Lincol...",U.K.,1977
13407,13-JAN-1977,DC-8-62AF,JAL,5.0,Anchorage Intern...,USA,1977
13408,13-JAN-1977,Tupolev Tu-104A,"Aeroflot, Far East",90.0,near Alma-Ata Airport...,Kazakhstan,1977
13409,14-JAN-1977,DHC-6 Twin Otter 300,Northern Thunderbird Air,12.0,"near Terrace Airport,...",Canada,1977
13410,15-JAN-1977,Vickers 838 Viscount,"Linjeflyg, lsf Skyline Sweden",22.0,near Stockholm-Bromma...,Sweden,1977
13411,15-JAN-1977,Douglas DC-3-277C,Air Sunshine,0.0,Miami Internatio...,USA,1977
13412,17-JAN-1977,Douglas C-47A (DC-3),Turkish AF,7.0,SA14tAA14ler,Turkey,1977
13413,18-JAN-1977,Learjet 25B,Yugoslav Government,8.0,near Sarajevo Airport...,Bosnia,1977
13414,19-JAN-1977,Convair CV-440-86,NEBA,0.0,La China,Bolivia,1977
13415,19-JAN-1977,CASA C-207C (T.7) Azor,Spanish AF,11.0,near Chiva,Spain,1977
13416,20-JAN-1977,Martin 4-0-4,CAMBA,0.0,El Peru,Bolivia,1977
13418,26-JAN-1977,Douglas C-54D (DC-4),Frigorifico Reyes,0.0,San Borja Airpor...,Bolivia,1977
13419,29-JAN-1977,DHC-6 Twin Otter 300,British Antarctic Survey,0.0,Gomez Nunatak,Antarctica,1977
13420,31-JAN-1977,Chase YC-122C Avitruc,TransNorthern Aviation,1.0,Anchorage Intern...,USA,1977
13421,01-FEB-1977,Curtiss C-46D,SAB,0.0,Espiritu Airport,Bolivia,1977
